customer_id,cluster,recency,frequency,monetary,RFM_score
CUST_00001,1,9,6,1064.22,14
CUST_00002,0,117,3,393.29,6
CUST_00003,1,125,7,2191.88,13
CUST_00004,1,72,3,1091.3300000000002,10
CUST_00005,1,27,3,1194.69,11
CUST_00006,1,66,4,1350.49,11
CUST_00007,0,321,3,1175.7,7
CUST_00008,0,138,3,1174.99,9
CUST_00009,1,38,7,1952.88,15
CUST_00010,0,117,2,716.0,7
CUST_00011,0,68,2,641.05,7
CUST_00012,1,209,4,1362.5,9
CUST_00013,1,136,6,1171.43,12
CUST_00014,0,193,2,122.93,4
CUST_00015,0,95,3,549.34,8
CUST_00016,1,41,8,1405.69,15
CUST_00017,1,97,6,966.74,12
CUST_00018,0,434,1,22.42,3
CUST_00019,1,249,5,1677.33,11
CUST_00020,1,130,4,1493.7199999999998,11
CUST_00021,1,2,5,751.83,12
CUST_00022,0,505,2,879.6800000000001,5
CUST_00023,1,39,6,1915.54,15
CUST_00024,1,16,5,2518.09,14
CUST_00025,0,32,3,539.77,9
CUST_00026,0,156,4,771.3800000000001,9
CUST_00027,1,198,3,1416.9599999999998,9
CUST_00028,0,101,3,884.0799999999999,9
CUST_00029,0,224,3,941.6,7
CUST_00030,1,34,6,1583.9,15
CUST_00031,0,334,2,410.74,4
CUST_00032,1,423,5,1439.94,10
CUST_00033,1,34,6,1281.03,14
CUST_00034,1,0,5,1363.16,13
CUST_00035,1,11,4,1167.1,12
CUST_00036,1,1,5,1992.76,14
CUST_00037,1,25,5,1335.94,13
CUST_00038,0,319,2,696.8499999999999,4
CUST_00039,0,35,2,413.0,8
CUST_00040,0,229,2,200.88,4
CUST_00041,1,179,6,1400.05,13
CUST_00042,1,6,5,1523.17,14
CUST_00043,1,55,4,1029.79,10
CUST_00044,1,104,7,2264.05,13
CUST_00045,0,241,2,421.05,5
CUST_00046,1,7,3,968.96,10
CUST_00047,0,137,4,800.72,9
CUST_00048,1,123,4,1529.27,11
CUST_00049,1,43,6,1320.74,13
CUST_00050,1,19,5,724.77,12
CUST_00051,1,59,5,1020.68,11
CUST_00052,0,312,4,778.52,8
CUST_00053,0,181,2,1336.05,7
CUST_00054,0,249,2,183.48,4
CUST_00055,0,141,2,984.84,7
CUST_00056,0,353,2,1099.21,6
CUST_00057,0,97,2,858.1,8
CUST_00058,0,153,2,37.620000000000005,5
CUST_00059,1,209,7,1954.98,12
CUST_00060,1,101,9,2355.15,14
CUST_00061,0,628,1,349.0,3
CUST_00062,0,549,1,275.6,3
CUST_00063,1,333,5,1234.58,9
CUST_00064,0,437,4,1541.87,9
CUST_00065,1,92,6,1349.11,13
CUST_00066,0,452,4,802.3399999999999,7
CUST_00067,0,112,2,173.26,5
CUST_00068,0,550,2,260.92,3
CUST_00069,0,276,2,929.19,6
CUST_00070,1,6,4,1248.23,12
CUST_00071,0,244,4,483.22,7
CUST_00072,1,103,6,1559.8000000000002,13
CUST_00073,1,90,4,1277.43,11
CUST_00074,1,12,6,1513.06,15
CUST_00075,0,183,4,645.23,7
CUST_00076,0,52,2,173.88,6
CUST_00077,1,11,6,1359.54,14
CUST_00078,1,100,5,1099.86,12
CUST_00079,0,148,3,432.84,7
CUST_00080,0,101,3,894.12,9
CUST_00081,1,11,4,686.11,10
CUST_00082,0,217,3,1044.09,7
CUST_00083,0,158,4,804.19,9
CUST_00084,0,293,2,180.96,4
CUST_00085,1,18,6,2113.19,15
CUST_00086,0,348,3,427.99,5
CUST_00087,1,314,7,1967.28,12
CUST_00088,0,342,3,1192.39,7
CUST_00089,0,101,3,615.58,8
CUST_00090,0,422,2,410.44,4
CUST_00091,0,543,2,37.07,3
CUST_00092,0,269,1,225.36,4
CUST_00093,0,192,3,1017.96,7
CUST_00094,1,112,6,940.19,11
CUST_00095,1,19,5,1196.07,13
CUST_00096,0,78,3,290.61,7
CUST_00097,0,169,4,794.17,9
CUST_00098,0,334,4,737.84,7
CUST_00099,0,384,2,430.14,4
CUST_00100,1,212,4,1720.21,10
CUST_00101,0,456,2,139.65,3
CUST_00102,0,114,3,375.24,6
CUST_00103,1,92,5,1189.88,12
CUST_00104,1,48,7,1810.18,14
CUST_00105,0,135,2,370.55000000000007,5
CUST_00106,0,219,2,299.66,4
CUST_00107,1,58,4,786.1700000000001,10
CUST_00108,0,203,3,500.85,6
CUST_00109,1,113,8,2283.66,13
CUST_00110,0,259,2,445.86,5
CUST_00111,0,183,3,1309.51,8
CUST_00112,0,44,2,1019.92,8
CUST_00113,0,365,2,911.16,5
CUST_00114,1,35,5,930.72,12
CUST_00115,0,30,3,607.1700000000001,9
CUST_00116,1,47,4,1232.1,11
CUST_00117,0,421,4,1105.81,8
CUST_00118,0,271,3,278.66,5
CUST_00119,1,43,6,1382.78,14
CUST_00120,0,114,1,192.21,5
CUST_00121,1,72,6,1165.98,13
CUST_00122,1,69,5,1054.89,12
CUST_00123,0,191,2,304.92,4
CUST_00124,0,444,3,575.86,5
CUST_00125,0,495,3,670.0,5
CUST_00126,0,145,3,932.84,8
CUST_00127,0,163,2,152.0,5
CUST_00128,1,105,8,1309.29,12
CUST_00129,1,24,3,1346.0099999999998,11
CUST_00130,0,282,2,488.06,5
CUST_00131,0,554,2,259.79,3
CUST_00132,1,20,6,1127.28,14
CUST_00133,1,170,6,921.51,11
CUST_00134,0,149,4,682.79,8
CUST_00135,1,42,7,1916.51,14
CUST_00136,0,128,3,788.27,8
CUST_00137,1,25,4,1284.93,12
CUST_00138,0,368,4,690.56,6
CUST_00139,0,6,2,504.12,8
CUST_00140,1,180,5,1294.19,11
CUST_00141,0,282,3,131.98000000000002,5
CUST_00142,0,202,3,650.71,6
CUST_00143,0,597,1,116.96,3
CUST_00144,0,245,4,421.88,7
CUST_00145,1,146,5,1987.23,12
CUST_00146,0,326,3,894.3,6
CUST_00147,0,231,4,597.83,7
CUST_00148,1,113,5,1614.98,12
CUST_00149,0,438,3,710.33,5
CUST_00150,0,134,2,216.57,5
CUST_00151,0,74,3,175.71,7
CUST_00152,1,47,7,2912.9,14
CUST_00153,1,114,9,2843.05,13
CUST_00154,1,58,6,1738.84,14
CUST_00155,0,360,2,415.64,4
CUST_00156,1,97,5,2037.68,13
CUST_00157,1,259,4,1240.03,9
CUST_00158,0,410,3,443.09,5
CUST_00159,0,206,3,1211.16,8
CUST_00160,1,178,5,1250.04,11
CUST_00161,0,43,2,10.21,6
CUST_00162,0,546,3,863.47,6
CUST_00163,1,31,4,776.37,11
CUST_00164,0,100,1,126.06,6
CUST_00165,0,336,2,395.89,3
CUST_00166,0,100,2,519.04,7
CUST_00167,0,91,3,574.9200000000001,8
CUST_00168,1,128,7,1982.2200000000005,13
CUST_00169,1,70,4,1101.24,11
CUST_00170,1,18,5,1169.83,13
CUST_00171,1,305,4,1497.2,10
CUST_00172,1,24,3,1531.09,12
CUST_00173,1,87,5,1293.65,12
CUST_00174,0,281,1,410.13,4
CUST_00175,0,168,3,1015.89,8
CUST_00176,0,104,3,276.24,6
CUST_00177,0,280,2,552.74,5
CUST_00178,0,27,3,620.19,9
CUST_00179,0,379,4,752.3299999999999,7
CUST_00180,0,83,2,325.81,6
CUST_00181,0,116,2,297.77,5
CUST_00182,0,144,2,624.9300000000001,6
CUST_00183,0,377,2,1521.02,7
CUST_00184,1,56,4,815.01,10
CUST_00185,0,80,4,723.45,10
CUST_00186,0,284,2,119.14,4
CUST_00187,0,264,1,174.21,4
CUST_00188,0,378,4,1347.86,8
CUST_00189,0,158,1,69.17999999999999,5
CUST_00190,1,73,5,974.03,11
CUST_00191,0,140,3,794.8199999999999,8
CUST_00192,1,116,4,1213.29,10
CUST_00193,0,213,4,276.58,6
CUST_00194,1,127,4,955.7,9
CUST_00195,0,20,4,443.57,10
CUST_00196,0,125,4,705.48,8
CUST_00197,0,258,1,349.3,4
CUST_00198,1,411,6,846.38,9
CUST_00199,0,282,4,1056.74,9
CUST_00200,0,477,1,194.4,3
CUST_00201,0,242,2,484.62,5
CUST_00202,0,332,4,401.59,5
CUST_00203,1,65,4,815.4399999999999,10
CUST_00204,1,97,8,1692.78,14
CUST_00205,1,171,5,1369.95,11
CUST_00206,0,646,4,1224.02,8
CUST_00207,1,17,5,2020.52,14
CUST_00208,1,128,4,1017.86,9
CUST_00209,0,231,4,525.27,7
CUST_00210,0,68,3,983.04,9
CUST_00211,1,12,5,1587.84,14
CUST_00212,1,78,6,1324.24,13
CUST_00213,1,287,5,1405.64,11
CUST_00214,0,225,2,427.29,5
CUST_00215,0,52,4,627.65,9
CUST_00216,0,165,3,301.67,6
CUST_00217,0,150,4,333.0,7
CUST_00218,0,406,3,429.14,5
CUST_00219,0,312,2,375.83,4
CUST_00220,1,99,5,1245.62,12
CUST_00221,0,73,4,249.81,8
CUST_00222,1,21,3,1334.5300000000002,11
CUST_00223,0,7,4,357.56,9
CUST_00224,1,11,5,501.31,11
CUST_00225,1,129,6,2297.1200000000003,13
CUST_00226,1,288,5,1599.85,11
CUST_00227,0,181,2,546.6800000000001,5
CUST_00228,0,33,3,766.59,10
CUST_00229,1,82,5,1202.81,12
CUST_00230,1,11,4,1095.37,12
CUST_00231,1,76,8,1079.38,13
CUST_00232,1,215,5,1046.44,9
CUST_00233,1,202,6,2345.34,12
CUST_00234,0,64,3,445.69,8
CUST_00235,0,129,4,238.81,7
CUST_00236,1,36,7,1508.8000000000002,15
CUST_00237,0,161,3,830.53,8
CUST_00238,0,187,3,786.44,7
CUST_00239,1,98,4,1267.4299999999998,11
CUST_00240,1,52,6,1991.8,14
