customer_id,segment,segment_priority,RFM_score,RFM_weighted_score
CUST_00001,High-Value,1,14,4.8
CUST_00002,Lost,5,6,2.3000000000000003
CUST_00003,High-Value,1,13,4.0
CUST_00004,At-Risk,3,10,3.4000000000000004
CUST_00005,Loyal,2,11,3.9000000000000004
CUST_00006,Loyal,2,11,3.7
CUST_00007,New,4,7,1.9000000000000001
CUST_00008,At-Risk,3,9,2.9000000000000004
CUST_00009,High-Value,1,15,5.0
CUST_00010,New,4,7,2.4000000000000004
CUST_00011,New,4,7,2.6999999999999997
CUST_00012,At-Risk,3,9,2.7
CUST_00013,Loyal,2,12,3.8
CUST_00014,Lost,5,4,1.5
CUST_00015,New,4,8,3.0
CUST_00016,High-Value,1,15,5.0
CUST_00017,Loyal,2,12,4.1
CUST_00018,Lost,5,3,1.0
CUST_00019,Loyal,2,11,3.2
CUST_00020,Loyal,2,11,3.4
CUST_00021,Loyal,2,12,4.300000000000001
CUST_00022,Lost,5,5,1.4000000000000001
CUST_00023,High-Value,1,15,5.0
CUST_00024,High-Value,1,14,4.7
CUST_00025,At-Risk,3,9,3.5
CUST_00026,At-Risk,3,9,3.0
CUST_00027,At-Risk,3,9,2.6
CUST_00028,At-Risk,3,9,3.2
CUST_00029,New,4,7,2.2
CUST_00030,High-Value,1,15,5.0
CUST_00031,Lost,5,4,1.2000000000000002
CUST_00032,At-Risk,3,10,2.7
CUST_00033,High-Value,1,14,4.8
CUST_00034,High-Value,1,13,4.5
CUST_00035,Loyal,2,12,4.2
CUST_00036,High-Value,1,14,4.7
CUST_00037,High-Value,1,13,4.5
CUST_00038,Lost,5,4,1.2000000000000002
CUST_00039,New,4,8,3.1999999999999997
CUST_00040,Lost,5,4,1.5
CUST_00041,High-Value,1,13,4.0
CUST_00042,High-Value,1,14,4.7
CUST_00043,At-Risk,3,10,3.5
CUST_00044,High-Value,1,13,4.0
CUST_00045,Lost,5,5,1.7000000000000002
CUST_00046,At-Risk,3,10,3.7
CUST_00047,At-Risk,3,9,3.0
CUST_00048,Loyal,2,11,3.4
CUST_00049,High-Value,1,13,4.3
CUST_00050,Loyal,2,12,4.300000000000001
CUST_00051,Loyal,2,11,3.8000000000000003
CUST_00052,New,4,8,2.5
CUST_00053,New,4,7,2.1
CUST_00054,Lost,5,4,1.5
CUST_00055,New,4,7,2.4000000000000004
CUST_00056,Lost,5,6,1.6
CUST_00057,New,4,8,2.9
CUST_00058,Lost,5,5,2.0
CUST_00059,Loyal,2,12,3.5
CUST_00060,High-Value,1,14,4.5
CUST_00061,Lost,5,3,1.0
CUST_00062,Lost,5,3,1.0
CUST_00063,At-Risk,3,9,2.5
CUST_00064,At-Risk,3,9,2.4
CUST_00065,High-Value,1,13,4.3
CUST_00066,New,4,7,2.0
CUST_00067,Lost,5,5,2.0
CUST_00068,Lost,5,3,1.0
CUST_00069,Lost,5,6,1.9000000000000001
CUST_00070,Loyal,2,12,4.2
CUST_00071,New,4,7,2.3
CUST_00072,High-Value,1,13,4.0
CUST_00073,Loyal,2,11,3.7
CUST_00074,High-Value,1,15,5.0
CUST_00075,New,4,7,2.3
CUST_00076,Lost,5,6,2.5
CUST_00077,High-Value,1,14,4.8
CUST_00078,Loyal,2,12,4.0
CUST_00079,New,4,7,2.5
CUST_00080,At-Risk,3,9,3.2
CUST_00081,At-Risk,3,10,3.8
CUST_00082,New,4,7,2.2
CUST_00083,At-Risk,3,9,3.0
CUST_00084,Lost,5,4,1.5
CUST_00085,High-Value,1,15,5.0
CUST_00086,Lost,5,5,1.5
CUST_00087,Loyal,2,12,3.5
CUST_00088,New,4,7,1.9000000000000001
CUST_00089,New,4,8,3.0
CUST_00090,Lost,5,4,1.2000000000000002
CUST_00091,Lost,5,3,1.0
CUST_00092,Lost,5,4,1.5
CUST_00093,New,4,7,2.2
CUST_00094,Loyal,2,11,3.6
CUST_00095,High-Value,1,13,4.5
CUST_00096,New,4,7,2.8000000000000003
CUST_00097,At-Risk,3,9,3.0
CUST_00098,New,4,7,2.0
CUST_00099,Lost,5,4,1.2000000000000002
CUST_00100,At-Risk,3,10,2.9
CUST_00101,Lost,5,3,1.0
CUST_00102,Lost,5,6,2.3000000000000003
CUST_00103,Loyal,2,12,4.0
CUST_00104,High-Value,1,14,4.5
CUST_00105,Lost,5,5,2.0
CUST_00106,Lost,5,4,1.5
CUST_00107,At-Risk,3,10,3.5
CUST_00108,Lost,5,6,2.0
CUST_00109,High-Value,1,13,4.0
CUST_00110,Lost,5,5,1.7000000000000002
CUST_00111,New,4,8,2.4000000000000004
CUST_00112,New,4,8,2.9
CUST_00113,Lost,5,5,1.4000000000000001
CUST_00114,Loyal,2,12,4.300000000000001
CUST_00115,At-Risk,3,9,3.5
CUST_00116,Loyal,2,11,3.7
CUST_00117,New,4,8,2.2
CUST_00118,Lost,5,5,1.8
CUST_00119,High-Value,1,14,4.5
CUST_00120,Lost,5,5,2.0
CUST_00121,High-Value,1,13,4.3
CUST_00122,Loyal,2,12,4.0
CUST_00123,Lost,5,4,1.5
CUST_00124,Lost,5,5,1.5
CUST_00125,Lost,5,5,1.5
CUST_00126,New,4,8,2.7
CUST_00127,Lost,5,5,2.0
CUST_00128,Loyal,2,12,3.8
CUST_00129,Loyal,2,11,3.9000000000000004
CUST_00130,Lost,5,5,1.7000000000000002
CUST_00131,Lost,5,3,1.0
CUST_00132,High-Value,1,14,4.8
CUST_00133,Loyal,2,11,3.6
CUST_00134,New,4,8,2.8
CUST_00135,High-Value,1,14,4.5
CUST_00136,New,4,8,2.7
CUST_00137,Loyal,2,12,4.2
CUST_00138,Lost,5,6,1.7999999999999998
CUST_00139,New,4,8,3.1999999999999997
CUST_00140,Loyal,2,11,3.5
CUST_00141,Lost,5,5,1.8
CUST_00142,Lost,5,6,2.0
CUST_00143,Lost,5,3,1.0
CUST_00144,New,4,7,2.3
CUST_00145,Loyal,2,12,3.7
CUST_00146,Lost,5,6,1.7000000000000002
CUST_00147,New,4,7,2.3
CUST_00148,Loyal,2,12,3.7
CUST_00149,Lost,5,5,1.5
CUST_00150,Lost,5,5,2.0
CUST_00151,New,4,7,2.8000000000000003
CUST_00152,High-Value,1,14,4.5
CUST_00153,High-Value,1,13,4.0
CUST_00154,High-Value,1,14,4.5
CUST_00155,Lost,5,4,1.2000000000000002
CUST_00156,High-Value,1,13,4.2
CUST_00157,At-Risk,3,9,2.7
CUST_00158,Lost,5,5,1.5
CUST_00159,New,4,8,2.4000000000000004
CUST_00160,Loyal,2,11,3.5
CUST_00161,Lost,5,6,2.5
CUST_00162,Lost,5,6,1.7000000000000002
CUST_00163,Loyal,2,11,4.0
CUST_00164,Lost,5,6,2.5
CUST_00165,Lost,5,3,1.0
CUST_00166,New,4,7,2.6999999999999997
CUST_00167,New,4,8,3.0
CUST_00168,High-Value,1,13,4.0
CUST_00169,Loyal,2,11,3.7
CUST_00170,High-Value,1,13,4.5
CUST_00171,At-Risk,3,10,2.9
CUST_00172,Loyal,2,12,4.1
CUST_00173,Loyal,2,12,4.0
CUST_00174,Lost,5,4,1.5
CUST_00175,New,4,8,2.7
CUST_00176,Lost,5,6,2.3000000000000003
CUST_00177,Lost,5,5,1.7000000000000002
CUST_00178,At-Risk,3,9,3.5
CUST_00179,New,4,7,2.0
CUST_00180,Lost,5,6,2.5
CUST_00181,Lost,5,5,2.0
CUST_00182,Lost,5,6,2.2
CUST_00183,New,4,7,1.8
CUST_00184,At-Risk,3,10,3.5
CUST_00185,At-Risk,3,10,3.5
CUST_00186,Lost,5,4,1.5
CUST_00187,Lost,5,4,1.5
CUST_00188,New,4,8,2.2
CUST_00189,Lost,5,5,2.0
CUST_00190,Loyal,2,11,3.8000000000000003
CUST_00191,New,4,8,2.7
CUST_00192,At-Risk,3,10,3.2
CUST_00193,Lost,5,6,2.1
CUST_00194,At-Risk,3,9,3.0
CUST_00195,At-Risk,3,10,3.8
CUST_00196,New,4,8,2.8
CUST_00197,Lost,5,4,1.5
CUST_00198,At-Risk,3,9,2.6
CUST_00199,At-Risk,3,9,2.7
CUST_00200,Lost,5,3,1.0
CUST_00201,Lost,5,5,1.7000000000000002
CUST_00202,Lost,5,5,1.5999999999999999
CUST_00203,At-Risk,3,10,3.5
CUST_00204,High-Value,1,14,4.5
CUST_00205,Loyal,2,11,3.5
CUST_00206,New,4,8,2.2
CUST_00207,High-Value,1,14,4.7
CUST_00208,At-Risk,3,9,3.0
CUST_00209,New,4,7,2.3
CUST_00210,At-Risk,3,9,3.2
CUST_00211,High-Value,1,14,4.7
CUST_00212,High-Value,1,13,4.3
CUST_00213,Loyal,2,11,3.2
CUST_00214,Lost,5,5,1.7000000000000002
CUST_00215,At-Risk,3,9,3.3
CUST_00216,Lost,5,6,2.3000000000000003
CUST_00217,New,4,7,2.6
CUST_00218,Lost,5,5,1.5
CUST_00219,Lost,5,4,1.5
CUST_00220,Loyal,2,12,4.0
CUST_00221,New,4,8,3.1
CUST_00222,Loyal,2,11,3.9000000000000004
CUST_00223,At-Risk,3,9,3.6
CUST_00224,Loyal,2,11,4.1000000000000005
CUST_00225,High-Value,1,13,4.0
CUST_00226,Loyal,2,11,3.2
CUST_00227,Lost,5,5,1.7000000000000002
CUST_00228,At-Risk,3,10,3.7
CUST_00229,Loyal,2,12,4.0
CUST_00230,Loyal,2,12,4.2
CUST_00231,High-Value,1,13,4.3
CUST_00232,At-Risk,3,9,2.8000000000000003
CUST_00233,Loyal,2,12,3.5
CUST_00234,New,4,8,3.0
CUST_00235,New,4,7,2.6
CUST_00236,High-Value,1,15,5.0
CUST_00237,New,4,8,2.7
CUST_00238,New,4,7,2.2
CUST_00239,Loyal,2,11,3.7
CUST_00240,High-Value,1,14,4.5
CUST_00241,New,4,7,3.0
CUST_00242,Lost,5,5,1.8
CUST_00243,Loyal,2,12,4.0
CUST_00244,Lost,5,6,2.3000000000000003
CUST_00245,High-Value,1,14,4.7
CUST_00246,Lost,5,4,1.5
CUST_00247,Loyal,2,11,3.9000000000000004
CUST_00248,Lost,5,4,1.5
CUST_00249,New,4,8,2.4000000000000004
CUST_00250,Lost,5,4,1.2000000000000002
CUST_00251,Lost,5,6,1.6
CUST_00252,High-Value,1,14,4.5
CUST_00253,Lost,5,4,1.2000000000000002
CUST_00254,High-Value,1,13,4.2
CUST_00255,Loyal,2,11,3.5
CUST_00256,Lost,5,6,1.9000000000000001
CUST_00257,Lost,5,4,1.2000000000000002
CUST_00258,New,4,7,2.4000000000000004
CUST_00259,Loyal,2,12,4.1
CUST_00260,At-Risk,3,10,2.7
CUST_00261,Lost,5,3,1.0
CUST_00262,At-Risk,3,10,3.5
CUST_00263,At-Risk,3,10,3.2
CUST_00264,New,4,8,2.7
CUST_00265,Lost,5,5,1.8
CUST_00266,Loyal,2,12,4.1
CUST_00267,At-Risk,3,9,3.5
CUST_00268,New,4,8,3.3000000000000003
CUST_00269,Lost,5,3,1.0
CUST_00270,Lost,5,4,1.2000000000000002
CUST_00271,High-Value,1,14,4.7
CUST_00272,New,4,8,2.2
CUST_00273,Loyal,2,11,3.5
CUST_00274,Lost,5,4,1.3
CUST_00275,Lost,5,5,2.0
CUST_00276,At-Risk,3,10,3.7
CUST_00277,High-Value,1,15,5.0
CUST_00278,Lost,5,6,2.5
CUST_00279,Lost,5,5,1.5
CUST_00280,High-Value,1,14,4.7
CUST_00281,Lost,5,3,1.0
CUST_00282,At-Risk,3,9,3.1
CUST_00283,At-Risk,3,9,2.5
CUST_00284,Loyal,2,11,3.6
CUST_00285,Lost,5,6,2.0
CUST_00286,Loyal,2,12,3.5
CUST_00287,Lost,5,5,1.8
CUST_00288,At-Risk,3,10,3.7
CUST_00289,At-Risk,3,10,3.4000000000000004
CUST_00290,High-Value,1,15,5.0
CUST_00291,Lost,5,4,1.5
CUST_00292,At-Risk,3,9,3.5
CUST_00293,Loyal,2,12,3.9
CUST_00294,Lost,5,3,1.0
CUST_00295,Lost,5,4,1.5
CUST_00296,At-Risk,3,9,3.2
CUST_00297,At-Risk,3,10,3.8
CUST_00298,New,4,8,2.4000000000000004
CUST_00299,High-Value,1,14,4.7
CUST_00300,Lost,5,4,1.3
CUST_00301,Loyal,2,11,3.3
CUST_00302,High-Value,1,15,5.0
CUST_00303,Loyal,2,11,4.0
CUST_00304,Lost,5,6,1.6
CUST_00305,Lost,5,5,1.5
CUST_00306,Loyal,2,11,3.5
CUST_00307,Loyal,2,12,4.0
CUST_00308,Lost,5,6,1.7000000000000002
CUST_00309,New,4,7,1.9000000000000001
CUST_00310,Loyal,2,11,3.8000000000000003
CUST_00311,Loyal,2,12,4.300000000000001
CUST_00312,New,4,8,3.0
CUST_00313,High-Value,1,13,4.2
CUST_00314,At-Risk,3,9,3.5
CUST_00315,Lost,5,6,2.0
CUST_00316,Lost,5,3,1.0
CUST_00317,Lost,5,5,2.0
CUST_00318,High-Value,1,13,4.4
CUST_00319,New,4,8,2.2
CUST_00320,At-Risk,3,10,3.0
CUST_00321,Lost,5,3,1.0
CUST_00322,High-Value,1,13,4.2
CUST_00323,New,4,7,2.0
CUST_00324,Lost,5,6,2.0
CUST_00325,High-Value,1,14,4.5
CUST_00326,High-Value,1,13,4.5
CUST_00327,High-Value,1,13,4.0
CUST_00328,Loyal,2,12,4.0
CUST_00329,At-Risk,3,9,2.7
CUST_00330,Lost,5,4,1.5
CUST_00331,New,4,8,3.0
CUST_00332,Lost,5,4,1.2000000000000002
CUST_00333,Lost,5,6,1.7999999999999998
CUST_00334,New,4,8,3.3000000000000003
CUST_00335,High-Value,1,15,5.0
CUST_00336,High-Value,1,13,4.0
CUST_00337,Lost,5,6,2.2
CUST_00338,High-Value,1,15,5.0
CUST_00339,Lost,5,5,2.0
CUST_00340,New,4,8,2.4000000000000004
CUST_00341,Loyal,2,11,3.5
CUST_00342,New,4,7,3.0
CUST_00343,New,4,7,2.3
