order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value
ORDER_000001,1,PROD_4112,SELLER_650,2024-08-04 20:13:33.393567,179.16,27.83
ORDER_000002,1,PROD_7588,SELLER_339,2024-09-20 20:13:33.395987,442.31,35.19
ORDER_000002,2,PROD_5615,SELLER_252,2024-09-26 20:13:33.395987,362.03,47.93
ORDER_000002,3,PROD_6806,SELLER_951,2024-09-21 20:13:33.395987,136.23,7.68
ORDER_000003,1,PROD_4808,SELLER_431,2023-11-02 20:13:33.396978,302.2,29.73
ORDER_000004,1,PROD_2628,SELLER_777,2024-11-28 20:13:33.398975,438.11,37.58
ORDER_000005,1,PROD_6476,SELLER_312,2024-09-03 20:13:33.399400,248.14,30.97
ORDER_000005,2,PROD_6624,SELLER_393,2024-09-07 20:13:33.399400,178.15,37.81
ORDER_000005,3,PROD_4500,SELLER_474,2024-09-11 20:13:33.399400,427.4,23.18
ORDER_000006,1,PROD_3070,SELLER_459,2023-12-02 20:13:33.399802,293.84,39.17
ORDER_000006,2,PROD_4361,SELLER_539,2023-11-28 20:13:33.399802,355.74,35.98
ORDER_000006,3,PROD_3606,SELLER_247,2023-11-26 20:13:33.399802,79.87,45.05
ORDER_000007,1,PROD_2829,SELLER_675,2023-10-24 20:13:33.399802,45.14,23.43
ORDER_000007,2,PROD_2054,SELLER_487,2023-10-20 20:13:33.399802,422.44,31.11
ORDER_000007,3,PROD_4415,SELLER_542,2023-10-22 20:13:33.399802,486.29,15.28
ORDER_000008,1,PROD_7268,SELLER_344,2025-06-09 20:13:33.399802,203.76,19.09
ORDER_000008,2,PROD_9036,SELLER_134,2025-06-11 20:13:33.399802,66.91,48.02
ORDER_000008,3,PROD_3416,SELLER_896,2025-06-08 20:13:33.399802,305.44,42.2
ORDER_000009,1,PROD_1946,SELLER_998,2024-11-15 20:13:33.401821,92.49,16.11
ORDER_000010,1,PROD_7626,SELLER_210,2024-04-10 20:13:33.402868,276.97,12.44
ORDER_000010,2,PROD_4170,SELLER_863,2024-04-10 20:13:33.402868,111.58,40.21
ORDER_000010,3,PROD_3567,SELLER_383,2024-04-13 20:13:33.402868,288.99,32.93
ORDER_000011,1,PROD_4211,SELLER_345,2023-11-05 20:13:33.403482,363.85,29.0
ORDER_000012,1,PROD_6867,SELLER_919,2025-02-21 20:13:33.404221,475.06,28.08
ORDER_000012,2,PROD_9125,SELLER_315,2025-02-22 20:13:33.404221,158.2,27.11
ORDER_000013,1,PROD_2970,SELLER_786,2024-07-19 20:13:33.404221,490.56,23.34
ORDER_000013,2,PROD_2863,SELLER_215,2024-07-16 20:13:33.404221,478.46,14.02
ORDER_000013,3,PROD_8742,SELLER_905,2024-07-18 20:13:33.404221,425.01,45.19
ORDER_000014,1,PROD_4637,SELLER_909,2024-06-06 20:13:33.405372,346.98,37.52
ORDER_000014,2,PROD_1695,SELLER_385,2024-06-10 20:13:33.405372,404.17,17.54
ORDER_000015,1,PROD_9068,SELLER_287,2024-03-03 20:13:33.406363,43.82,5.25
ORDER_000016,1,PROD_8427,SELLER_513,2025-04-19 20:13:33.406940,364.34,17.62
ORDER_000016,2,PROD_1187,SELLER_784,2025-04-15 20:13:33.406940,180.92,9.99
ORDER_000016,3,PROD_6647,SELLER_165,2025-04-21 20:13:33.406940,478.01,28.52
ORDER_000017,1,PROD_3555,SELLER_389,2023-11-07 20:13:33.407676,357.95,35.01
ORDER_000017,2,PROD_4965,SELLER_666,2023-11-06 20:13:33.407676,403.71,46.82
ORDER_000018,1,PROD_8480,SELLER_380,2025-01-05 20:13:33.408076,26.5,14.66
ORDER_000018,2,PROD_6565,SELLER_173,2025-01-03 20:13:33.408076,445.44,27.64
