Invoice,StockCode,Description,Quantity,InvoiceDate,Price,CustomerID,Country,TotalAmount
229473,STOCK_0035,Product F,2,2024-02-07 20:13:35.334785,42.25,CUST_00001,United Kingdom,84.5
127712,STOCK_0056,Product B,5,2025-08-08 20:13:35.334785,3.61,CUST_00001,United Kingdom,18.05
369114,STOCK_0096,Product A,5,2025-03-25 20:13:35.336255,75.21,CUST_00001,United Kingdom,376.04999999999995
100404,STOCK_0077,Product A,2,2023-09-29 20:13:35.336757,4.65,CUST_00001,United Kingdom,9.3
150612,STOCK_0092,Product A,5,2024-03-18 20:13:35.338239,99.97,CUST_00001,United Kingdom,499.85
138765,STOCK_0053,Product E,3,2025-07-26 20:13:35.338553,25.49,CUST_00001,United Kingdom,76.47
686165,STOCK_0032,Product B,8,2024-05-26 20:13:35.339587,3.2,CUST_00002,Belgium,25.6
910717,STOCK_0003,Product B,1,2025-04-22 20:13:35.341190,55.64,CUST_00002,Belgium,55.64
415826,STOCK_0047,Product G,5,2024-07-13 20:13:35.341190,62.41,CUST_00002,Belgium,312.04999999999995
807689,STOCK_0038,Product A,8,2024-10-14 20:13:35.342049,91.14,CUST_00003,France,729.12
610736,STOCK_0081,Product E,4,2024-02-02 20:13:35.343435,46.48,CUST_00003,France,185.92
694124,STOCK_0084,Product H,5,2024-03-28 20:13:35.343435,98.02,CUST_00003,France,490.09999999999997
761450,STOCK_0043,Product C,9,2025-04-14 20:13:35.344371,46.55,CUST_00003,France,418.95
357218,STOCK_0016,Product H,4,2024-08-09 20:13:35.344371,19.01,CUST_00003,France,76.04
211195,STOCK_0027,Product B,3,2025-02-04 20:13:35.344371,5.05,CUST_00003,France,15.149999999999999
247979,STOCK_0061,Product F,5,2023-10-06 20:13:35.344371,55.32,CUST_00003,France,276.6
480975,STOCK_0026,Product I,9,2025-06-06 20:13:35.345518,69.09,CUST_00004,United Kingdom,621.8100000000001
936860,STOCK_0081,Product J,4,2024-01-23 20:13:35.345954,80.81,CUST_00004,United Kingdom,323.24
167661,STOCK_0079,Product H,6,2023-09-26 20:13:35.345954,24.38,CUST_00004,United Kingdom,146.28
218033,STOCK_0007,Product C,7,2024-10-10 20:13:35.345954,51.66,CUST_00005,United Kingdom,361.62
473220,STOCK_0038,Product C,3,2024-03-30 20:13:35.345954,25.0,CUST_00005,United Kingdom,75.0
870173,STOCK_0074,Product G,9,2025-07-21 20:13:35.347279,84.23,CUST_00005,United Kingdom,758.07
181264,STOCK_0018,Product D,6,2025-06-12 20:13:35.347279,59.1,CUST_00006,United Kingdom,354.6
699991,STOCK_0042,Product I,5,2024-01-01 20:13:35.347279,36.95,CUST_00006,United Kingdom,184.75
216421,STOCK_0070,Product E,9,2024-10-07 20:13:35.348274,24.49,CUST_00006,United Kingdom,220.41
856254,STOCK_0004,Product H,7,2024-01-14 20:13:35.348274,84.39,CUST_00006,United Kingdom,590.73
899666,STOCK_0084,Product D,6,2024-09-30 20:13:35.348953,97.53,CUST_00007,United Kingdom,585.1800000000001
237541,STOCK_0057,Product B,8,2024-01-22 20:13:35.348953,48.19,CUST_00007,United Kingdom,385.52
489678,STOCK_0068,Product C,4,2024-07-04 20:13:35.348953,51.25,CUST_00007,United Kingdom,205.0
182180,STOCK_0100,Product C,1,2025-04-01 20:13:35.349986,37.55,CUST_00008,Spain,37.55
556292,STOCK_0044,Product B,8,2023-11-07 20:13:35.349986,81.18,CUST_00008,Spain,649.44
142078,STOCK_0017,Product I,8,2024-09-23 20:13:35.349986,61.0,CUST_00008,Spain,488.0
357802,STOCK_0001,Product H,6,2024-02-18 20:13:35.351055,5.76,CUST_00009,Germany,34.56
599097,STOCK_0014,Product C,5,2025-01-01 20:13:35.351055,19.45,CUST_00009,Germany,97.25
784647,STOCK_0004,Product I,9,2024-01-22 20:13:35.351055,68.62,CUST_00009,Germany,617.58
502400,STOCK_0032,Product C,6,2024-03-10 20:13:35.352041,54.44,CUST_00009,Germany,326.64
192263,STOCK_0017,Product A,7,2023-10-23 20:13:35.352041,53.65,CUST_00009,Germany,375.55
590025,STOCK_0051,Product F,6,2025-07-10 20:13:35.352041,33.95,CUST_00009,Germany,203.70000000000002
675644,STOCK_0015,Product A,4,2024-05-27 20:13:35.352041,74.4,CUST_00009,Germany,297.6
343322,STOCK_0055,Product A,4,2024-07-03 20:13:35.352041,57.42,CUST_00010,France,229.68
382247,STOCK_0038,Product D,8,2025-04-22 20:13:35.353082,60.79,CUST_00010,France,486.32
754618,STOCK_0002,Product C,3,2023-10-03 20:13:35.353082,56.99,CUST_00011,United Kingdom,170.97
494030,STOCK_0020,Product J,8,2025-06-10 20:13:35.353872,58.76,CUST_00011,United Kingdom,470.08
923651,STOCK_0089,Product A,8,2025-01-20 20:13:35.354417,87.34,CUST_00012,Belgium,698.72
600315,STOCK_0005,Product H,5,2024-09-28 20:13:35.354912,71.02,CUST_00012,Belgium,355.09999999999997
234869,STOCK_0009,Product F,3,2024-08-05 20:13:35.354912,73.91,CUST_00012,Belgium,221.73
479862,STOCK_0001,Product E,5,2024-07-07 20:13:35.354912,17.39,CUST_00012,Belgium,86.95
950163,STOCK_0074,Product D,9,2025-04-03 20:13:35.356003,1.46,CUST_00013,Spain,13.14
398512,STOCK_0090,Product F,2,2024-02-28 20:13:35.356937,47.1,CUST_00013,Spain,94.2
906388,STOCK_0043,Product C,6,2023-11-17 20:13:35.356937,18.46,CUST_00013,Spain,110.76
670451,STOCK_0049,Product F,2,2025-03-10 20:13:35.357364,66.69,CUST_00013,Spain,133.38
687111,STOCK_0049,Product D,6,2024-08-22 20:13:35.357364,86.2,CUST_00013,Spain,517.2
193501,STOCK_0071,Product A,7,2024-02-04 20:13:35.357364,43.25,CUST_00013,Spain,302.75
803662,STOCK_0093,Product H,3,2024-06-15 20:13:35.358326,7.51,CUST_00014,United Kingdom,22.53
951587,STOCK_0092,Product A,2,2025-02-05 20:13:35.358326,50.2,CUST_00014,United Kingdom,100.4
209575,STOCK_0097,Product G,7,2025-03-09 20:13:35.359395,16.46,CUST_00015,United Kingdom,115.22
C549589,STOCK_0067,Product H,7,2024-10-09 20:13:35.359395,67.52,CUST_00015,United Kingdom,472.64
697794,STOCK_0067,Product C,1,2024-12-22 20:13:35.359395,56.12,CUST_00015,United Kingdom,56.12
711213,STOCK_0088,Product H,4,2025-05-14 20:13:35.359395,94.5,CUST_00015,United Kingdom,378.0
C267292,STOCK_0074,Product G,1,2025-08-11 20:13:35.359395,21.58,CUST_00015,United Kingdom,21.58
997928,STOCK_0012,Product D,5,2025-04-21 20:13:35.360463,35.17,CUST_00016,United Kingdom,175.85000000000002
356713,STOCK_0053,Product C,4,2025-01-04 20:13:35.360463,97.48,CUST_00016,United Kingdom,389.92
659655,STOCK_0059,Product G,1,2025-03-13 20:13:35.360463,48.99,CUST_00016,United Kingdom,48.99
216739,STOCK_0025,Product G,9,2024-12-24 20:13:35.361340,14.8,CUST_00016,United Kingdom,133.20000000000002
618271,STOCK_0058,Product B,7,2023-10-22 20:13:35.361340,68.64,CUST_00016,United Kingdom,480.48
746117,STOCK_0100,Product I,6,2025-07-07 20:13:35.361340,7.65,CUST_00016,United Kingdom,45.900000000000006
599512,STOCK_0076,Product G,5,2024-08-05 20:13:35.361340,2.09,CUST_00016,United Kingdom,10.45
436326,STOCK_0006,Product H,2,2024-11-04 20:13:35.361340,60.45,CUST_00016,United Kingdom,120.9
681780,STOCK_0065,Product C,5,2024-08-20 20:13:35.362184,60.71,CUST_00017,United Kingdom,303.55
478165,STOCK_0011,Product D,1,2024-10-26 20:13:35.362184,72.43,CUST_00017,United Kingdom,72.43
683417,STOCK_0055,Product H,6,2025-05-12 20:13:35.362184,14.37,CUST_00017,United Kingdom,86.22
779418,STOCK_0020,Product C,3,2024-02-17 20:13:35.363219,84.31,CUST_00017,United Kingdom,252.93
793264,STOCK_0098,Product I,2,2024-08-18 20:13:35.363219,11.55,CUST_00017,United Kingdom,23.1
527236,STOCK_0089,Product H,9,2023-11-16 20:13:35.363538,25.39,CUST_00017,United Kingdom,228.51
345690,STOCK_0094,Product F,2,2024-06-09 20:13:35.363855,11.21,CUST_00018,United Kingdom,22.42
494966,STOCK_0080,Product H,3,2024-10-04 20:13:35.363855,73.49,CUST_00019,United Kingdom,220.46999999999997
177454,STOCK_0080,Product F,8,2024-04-20 20:13:35.363855,25.72,CUST_00019,United Kingdom,205.76
381685,STOCK_0026,Product I,7,2024-01-25 20:13:35.363855,99.94,CUST_00019,United Kingdom,699.5799999999999
576657,STOCK_0007,Product E,7,2024-12-11 20:13:35.364944,30.44,CUST_00019,United Kingdom,213.08
349321,STOCK_0093,Product B,4,2023-08-22 20:13:35.364944,84.61,CUST_00019,United Kingdom,338.44
194071,STOCK_0037,Product H,7,2025-04-09 20:13:35.365922,41.04,CUST_00020,United Kingdom,287.28
354444,STOCK_0004,Product F,9,2024-04-08 20:13:35.365922,74.05,CUST_00020,United Kingdom,666.4499999999999
C915862,STOCK_0066,Product G,3,2024-06-18 20:13:35.365922,87.14,CUST_00020,United Kingdom,261.42
806544,STOCK_0018,Product C,7,2025-03-30 20:13:35.365922,1.94,CUST_00020,United Kingdom,13.58
503832,STOCK_0062,Product E,9,2024-04-28 20:13:35.366923,58.49,CUST_00020,United Kingdom,526.41
533816,STOCK_0045,Product H,2,2025-08-15 20:13:35.366923,30.33,CUST_00021,Germany,60.66
830051,STOCK_0065,Product E,9,2024-06-12 20:13:35.366923,11.84,CUST_00021,Germany,106.56
530789,STOCK_0059,Product J,5,2025-03-31 20:13:35.366923,78.85,CUST_00021,Germany,394.25
550195,STOCK_0063,Product H,2,2024-06-04 20:13:35.368016,17.54,CUST_00021,Germany,35.08
161665,STOCK_0054,Product E,3,2024-01-21 20:13:35.368016,51.76,CUST_00021,Germany,155.28
166262,STOCK_0003,Product H,6,2024-03-30 20:13:35.368016,80.28,CUST_00022,United Kingdom,481.68
107657,STOCK_0009,Product C,4,2023-09-29 20:13:35.368016,99.5,CUST_00022,United Kingdom,398.0
143642,STOCK_0073,Product D,5,2025-05-21 20:13:35.369068,10.06,CUST_00023,United Kingdom,50.300000000000004
C932974,STOCK_0009,Product C,9,2024-02-24 20:13:35.369571,85.37,CUST_00023,United Kingdom,768.33
777114,STOCK_0025,Product E,2,2025-07-09 20:13:35.369571,41.44,CUST_00023,United Kingdom,82.88
928187,STOCK_0090,Product B,6,2025-02-23 20:13:35.369571,96.25,CUST_00023,United Kingdom,577.5
349690,STOCK_0040,Product C,3,2024-01-03 20:13:35.370064,35.43,CUST_00023,United Kingdom,106.28999999999999
590042,STOCK_0006,Product H,3,2024-11-02 20:13:35.370064,86.95,CUST_00023,United Kingdom,260.85
169274,STOCK_0048,Product I,9,2024-01-25 20:13:35.370064,93.08,CUST_00023,United Kingdom,837.72
512003,STOCK_0042,Product J,5,2024-03-01 20:13:35.370064,74.61,CUST_00024,United Kingdom,373.05
